resume_text,job_description,match_score,match_label
"Data Analyst with 5 years of experience in data analysis and reporting. Skilled in SQL, Python, and Power BI. Proven track record of delivering measurable results for cross-functional teams.","Data Scientist needed at a growing SaaS company. Required skills: Python, machine learning, pandas, statistics, SQL, and data storytelling. The ideal candidate has 4+ years of experience in data analysis and reporting.",0.5,medium
"HR Manager with 8 years of experience in human resources and talent management. Skilled in recruitment, employee relations, HRIS, and onboarding. Proven track record of delivering measurable results for cross-functional teams.","Sales Manager needed at a growing startup. Required skills: B2B sales, CRM, lead generation, and negotiation. The ideal candidate has 6+ years of experience in business development and client relationship management and a strong ability to work independently as well as within a team. Responsibilities include applying B2B sales to solve real business problems.",0.05,low
"Full Stack Developer with 1 years of experience in software engineering and application development. Skilled in React, Node.js, and JavaScript. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in React and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Full Stack Developer needed at a growing healthcare organization. Required skills: React, Node.js, JavaScript, MongoDB, and REST APIs. The ideal candidate has 1+ years of experience in software engineering and application development.",0.91,high
"Data Scientist with 5 years of experience in data analysis and reporting. Skilled in Python, machine learning, pandas, and statistics. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Python and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Data Scientist needed at a growing startup. Required skills: Python, machine learning, pandas, statistics, and SQL. The ideal candidate has 3+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems.",0.94,high
"Financial Analyst with 6 years of experience in financial planning and analysis. Skilled in financial modeling, Excel, forecasting, valuation, and budgeting. Proven track record of delivering measurable results for cross-functional teams.","Financial Analyst needed at a growing technology company. Required skills: financial modeling, Excel, forecasting, valuation, and budgeting.",0.91,high
"Mobile App Developer with 6 years of experience in software engineering and application development. Skilled in Flutter, Kotlin, Swift, REST APIs, and mobile UI design. Proven track record of delivering measurable results and collaborating with cross-functional teams. Holds relevant certifications and has led multiple successful projects from planning through delivery. Seeking a role where I can apply my expertise in Flutter and continue growing professionally as part of a driven team.","Mobile App Developer needed at a growing enterprise firm. Required skills: Flutter, Kotlin, Swift, REST APIs, mobile UI design, and Firebase. The ideal candidate has 4+ years of experience in software engineering and application development.",0.86,high
"Recruiter with 10 years of experience. Skilled in sourcing, ATS systems, interviewing, and candidate screening. Looking for a sourcing focused role.","HR Manager needed at a growing startup. Required skills: recruitment, employee relations, HRIS, onboarding, performance management, and payroll. The ideal candidate has 9+ years of experience in human resources and talent management.",0.46,medium
"Machine Learning Engineer with 10 years of experience in data analysis and reporting. Skilled in Python, TensorFlow, and PyTorch. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in Python and continue growing professionally. Strong communicator with a history of mentoring junior team members.","Data Scientist needed at a growing hospital network. Required skills: Python, machine learning, and pandas. The ideal candidate has 9+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying Python to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.47,medium
"Data Analyst with 3 years of experience in data analysis and reporting. Skilled in SQL, Python, Power BI, Excel, and data visualization. Proven track record of delivering measurable results and collaborating with cross-functional teams. Seeking a role where I can apply my expertise in SQL and continue growing professionally. Strong communicator with a history of mentoring junior team members.","QA Engineer needed at a growing healthcare organization. Required skills: test automation, Selenium, manual testing, bug tracking, and regression testing. The ideal candidate has 3+ years of experience in software engineering and application development and a strong ability to work independently as well as within a team. Responsibilities include applying test automation to solve real business problems. Competitive salary, remote-friendly, and strong growth opportunities are offered.",0.09,low
"Machine Learning Engineer with 6 years of experience. Skilled in Python, and TensorFlow. Looking for a Python focused role.","Data Analyst needed at a growing financial services company. Required skills: SQL, Python, Power BI, Excel, and data visualization. The ideal candidate has 5+ years of experience in data analysis and reporting and a strong ability to work independently as well as within a team. Responsibilities include applying SQL to solve real business problems.",0.56,medium
